,Press release,,Origin,,Sampling date,Item,,Radioactive Caesium (Bq/kg_ Provisional  regulation value for fish Radioactive caesium: 500 Bq/kg,,Radioactive _odine (Bq/kg_ Provisional  regulation value for fish Radioactive iodine: 2000 Bq/kg,,Facility that conducted  the analysis,Radioactive Caesium (Bq/kg_ Provisional  regulation value for fish Radioactive caesium: 500 Bq/kg,Radioactive _odine (Bq/kg_ Provisional  regulation value for fish Radioactive iodine: 2000 Bq/kg,,,
8099,Fukushima,"28 March,2012",Fukushima,Iwaki City,"22 March,2012",___,"Abalone
(Haliotis sp.)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,m,
277,Ibaraki,"16 May, 2011",Ibaraki,Oarai Town,"12 May, 2011",__________ ____,"Processed barnacle rock-shell
(processed)",Not detectable,,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",ND,ND,s,m,
3193,Fukushima,"26 October,2011",Fukushima,Minami-soma City,"24 October,2011",____,"Ocellated Octopus
(Octopus ocellatus)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,m,
5571,Fukushima,"25 January,2012",Fukushima,Minami-soma City,"19 January,2012",____,"Ocellated Octopus
(Octopus ocellatus)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,m,
6608,Fukushima,"22 February,2012",Fukushima,Hirono Town,"20 February,2012",____,"Ocellated Octopus
(Octopus ocellatus)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,m,
6949,Fukushima,"29 February,2012",Fukushima,Soma City,"22 February,2012",____,"Ocellated Octopus
(Octopus ocellatus)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,m,
1302,Fukushima,"3 August, 2011",Fukushima,Iwaki City,"27 July, 2011",___,"Hard-shelled mussel
(Mytilus coruscus)",,159,Not detectable,,"Fukushima Agricultural Technology
Centre",159,ND,s,m,
455,Ibaraki,"31 May, 2011",Ibaraki,"Shore of
Hitachinaka City","26 May, 2011",____,"Japanese rock oyster
(Crassostrea nippona )",,8,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",8,ND,s,m,
503,Ibaraki,"7 June, 2011",Ibaraki,"Shore of
Hitachinaka City","6 June, 2011",____,"Japanese rock oyster
(Crassostrea nippona )",40,,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",40,ND,s,m,
1303,Fukushima,"3 August, 2011",Fukushima,Iwaki City,"1 August, 2011",____,"Japanese rock oyster
(Crassostrea nippona )",,61,Not detectable,,"Fukushima Agricultural Technology
Centre",61,ND,s,m,
