,Press release,,,Origin,,Sampling date,Item,,Radioactive Caesium (Bq/kg_ Provisional  regulation value for fish Radioactive caesium: 500 Bq/kg,,Radioactive _odine (Bq/kg_ Provisional  regulation value for fish Radioactive iodine: 2000 Bq/kg,,Facility that conducted  the analysis,Radioactive Caesium (Bq/kg_ Provisional  regulation value for fish Radioactive caesium: 500 Bq/kg,Radioactive _odine (Bq/kg_ Provisional  regulation value for fish Radioactive iodine: 2000 Bq/kg,,,,,
458,Federation of North Pacific District Purse Seine Fisheries Co-operative Associations of Japan,"1 June, 2011",,(Landing port) Shiogama Fish Market in Miyagi,Offshore Pacific Ocean (N34¡09_E145¡09),"27 May, 2011",___,"Skipjack tuna
(Katsuwonus pelamis)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",ND,ND,pelagic,s,f,2011,27
488,National Offshore Tuna Fisheries Association of Japan,"1 June, 2011",,(Landing port) Chiba-katsuura Fishing Port in Chiba,"Offshore Pacific
Ocean
(N33¡ 0_E140¡ 20)","28 May, 2011",___,"Skipjack tuna
(Katsuwonus pelamis)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",ND,ND,pelagic,s,f,2011,28
578,Chiba (National Offshore Tuna Fisheries Association of Japan),"9 June, 2011",,Chiba,350 km east- southeast offshore Boso Peninsula (N33¡40_E143¡50),"4 June, 2011",___,"Skipjack tuna
(Katsuwonus pelamis)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",ND,ND,pelagic,s,f,2011,4 
581,Federation of North Pacific District Purse Seine Fisheries Co-operative Associations of Japan,"9 June, 2011",,(Landing port) Choshi Fishing Port in Chiba,50km west offshore Aogashima (N32¡00_E138¡50),"6 June, 2011",___,"Skipjack tuna
(Katsuwonus pelamis)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",ND,ND,pelagic,s,f,2011,6 
610,Chiba (National Offshore Tuna Fisheries Association of Japan),"15 June, 2011",,Chiba,"350km South- southeast offshore Boso Peninsula
(N 32¡ 05Õ E 141¡
30Õ)","11 June, 2011",___,"Skipjack tuna
(Katsuwonus pelamis)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",ND,ND,pelagic,s,f,2011,11
665,"Chiba
_Federation of
North Pacific
District Purse
Seine Fisheries
Co-operative
Associations of
Japan_","17 June, 2011",,Chiba,"170km West offshore Aogashima
N33¡ 11Õ E 138¡
15Õ","14 June, 2011",___,"Skipjack tuna
(Katsuwonus pelamis)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",ND,ND,pelagic,s,f,2011,14
670,Federation of North Pacific District Purse Seine Fisheries Co-operative Associations of Japan,"21 June, 2011",,Fukushima (Landing port) Onahama in Fukushima,880km offshore Fukushima (N37¡20_E150¡55),"15 June, 2011",___,"Skipjack tuna
(Katsuwonus pelamis)",,5,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",5,ND,pelagic,s,f,2011,15
671,Federation of North Pacific District Purse Seine Fisheries Co-operative Associations of Japan,"21 June, 2011",,Fukushima (Landing port) Onahama in Fukushima,880km offshore Fukushima (N37¡20_E150¡53),"15 June, 2011",___,"Skipjack tuna
(Katsuwonus pelamis)",,5.5,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",5.5,ND,pelagic,s,f,2011,15
672,Federation of North Pacific District Purse Seine Fisheries Co-operative Associations of Japan,"21 June, 2011",,Ibaraki (Landing port) Onahama in Fukushima,360km offshore Ibaraki (N36¡34_E144¡40),"16 June, 2011",___,"Skipjack tuna
(Katsuwonus pelamis)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",ND,ND,pelagic,s,f,2011,16
673,Federation of North Pacific District Purse Seine Fisheries Co-operative Associations of Japan,"21 June, 2011",,Ibaraki (Landing port) Onahama in Fukushima,360km offshore Ibaraki (N36¡36_E144¡37),"16 June, 2011",___,"Skipjack tuna
(Katsuwonus pelamis)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",ND,ND,pelagic,s,f,2011,16
