,Press release,,,Origin,,Sampling date,Item,,Radioactive Caesium (Bq/kg_ Provisional  regulation value for fish Radioactive caesium: 500 Bq/kg,,Radioactive _odine (Bq/kg_ Provisional  regulation value for fish Radioactive iodine: 2000 Bq/kg,,Facility that conducted  the analysis,Radioactive Caesium (Bq/kg_ Provisional  regulation value for fish Radioactive caesium: 500 Bq/kg,Radioactive _odine (Bq/kg_ Provisional  regulation value for fish Radioactive iodine: 2000 Bq/kg,,,,,
493,Hokkaido,"3 June, 2011",,Hokkaido,"Pacific Ocean, Offshore Hokkaido and Tohoku
(N41¡ 06_E146¡
28)","28 May, 2011",____,"Chum salmon
(Oncorhynchus keta)",,7.38,Not detectable,,Hokkaido Institute of Public Health,7.38,ND,pelagic,s,f,2011,28
747,Hokkaido,"24 June, 2011",,Hokkaido,"Pacific Ocean, Offshore Hokkaido and Tohoku (N41¡57_E145¡
58)","19 June, 2011",____,"Chum salmon
(Oncorhynchus keta)",,1.69,Not detectable,,Hokkaido Institute of Public Health,1.69,ND,pelagic,s,f,2011,19
2365,Akita,"30 September,2011",,Akita,"Offshore Toga, Oga City","28 September,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,"Akita Research Center for Public
Health and Environment",ND,ND,pelagic,s,f,2011,28
2537,Miyagi,"6 October,2011",,Miyagi,"Offshore
Kesennuma","26 September,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,26
2544,Miyagi,"6 October,2011",,Miyagi,Sendai Bay,"29 September,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Tohoku University,ND,ND,pelagic,s,f,2011,29
2545,Miyagi,"6 October,2011",,Miyagi,Offshore Utatsu,"29 September,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Tohoku University,ND,ND,pelagic,s,f,2011,29
2552,Hokkaido,"6 October,2011",,Hokkaido,"Offshore
Ishikari City","30 September,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,"Japan Frozen Foods Inspection
Corporation",ND,ND,pelagic,s,f,2011,30
2565,Hokkaido,"7 October,2011",,Hokkaido,"Offshore
Abashiri City","1 October,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,1 
2567,Iwate,"7 October,2011",,Iwate,"Offshore
Kuji City","4 October,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,4 
2568,Iwate,"7 October,2011",,Iwate,"Offshore
Miyako City","3 October,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,3 
2569,Iwate,"7 October,2011",,Iwate,"Offshore
Kamaishi City","4 October,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,4 
2570,Iwate,"7 October,2011",,Iwate,"Offshore
Ofunato City","3 October,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,3 
2739,Miyagi,"13 October,2011",,Miyagi,Offshore Miyagi,"2 October,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,2 
2745,Miyagi,"13 October,2011",,Miyagi,Kesennuma Bay,"5 October,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,5 
2763,Hokkaido,"14 October,2011",,Hokkaido,"Offshore
Urakawa Town","8 October,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,pelagic,s,f,2011,8 
2767,Iwate,"14 October,2011",,Iwate,"Offshore
Kuji City","11 October,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,11
2768,Iwate,"14 October,2011",,Iwate,"Offshore
Miyako City","10 October,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,10
2769,Iwate,"14 October,2011",,Iwate,"Offshore
Ofunato City","10 October,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,10
2809,Hokkaido,"17 October,2011",,Hokkaido,"Offshore
Kushiro City","11 October,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,11
2818,Aomori,"17 October,2011",,Aomori,Offshore Misawa,"13 October,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,13
2845,Miyagi,"18 October,2011",,Miyagi,"Offshore southern
Sanriku Region","11 October,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,11
2992,Hokkaido,"19 October,2011",,Hokkaido,"Offshore
Abashiri City","15 October,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,pelagic,s,f,2011,15
2995,Miyagi,"19 October,2011",,Miyagi,"Offshore
Shizugawa","13 October,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Tohoku University,ND,ND,pelagic,s,f,2011,13
2998,Miyagi,"19 October,2011",,Miyagi,Kesennuma City (Okawa River) (inland waters),"13 October,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Tohoku University,ND,ND,pelagic,s,f,2011,13
2999,Miyagi,"19 October,2011",,Miyagi,Misato Town (Eai River) (inland waters),"13 October,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Tohoku University,ND,ND,pelagic,s,f,2011,13
3005,Hokkaido,"20 October,2011",,Hokkaido,"Offshore
Ishikari Town","12 October,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,pelagic,s,f,2011,12
3014,Iwate,"21 October,2011",,Iwate,"Offshore
Kuji City","18 October,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,18
3015,Iwate,"21 October,2011",,Iwate,"Offshore
Iwaizumi Town","17 October,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,17
3016,Iwate,"21 October,2011",,Iwate,"Offshore
Kamaishi City","18 October,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,18
3017,Iwate,"21 October,2011",,Iwate,"Offshore
Ofunato City","17 October,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,17
3029,Hokkaido,"21 October,2011",,Hokkaido,"Offshore
Betsukai Town","18 October,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,"Japan Frozen Foods Inspection
Corporation",ND,ND,pelagic,s,f,2011,18
3045,Aomori,"24 October,2011",,Aomori,Offshore Shitsukari,"19 October,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,"Japan Frozen Foods Inspection
Corporation",ND,ND,pelagic,s,f,2011,19
3210,Hokkaido,"26 October,2011",,Hokkaido,"Offshore
Urakawa Town","21 October,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,21
3248,Miyagi,"27 October,2011",,Miyagi,Sendai Bay,"21 October,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Tohoku University,ND,ND,pelagic,s,f,2011,21
3256,Iwate,"28 October,2011",,Iwate,"Offshore
Kamaishi City","18 October,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Research Institute for Environmental Sciences  and Public Health of Iwate Prefecture,ND,ND,pelagic,s,f,2011,18
3262,Iwate,"28 October,2011",,Iwate,"Offshore
Kuji City","25 October,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,25
3263,Iwate,"28 October,2011",,Iwate,"Offshore
Miyako City","24 October,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,24
3264,Iwate,"28 October,2011",,Iwate,"Offshore
Kamaishi City","25 October,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,25
3265,Iwate,"28 October,2011",,Iwate,"Offshore
Ofunato City","25 October,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,25
3467,Hokkaido,"2 November ,2011",,Hokkaido,"Offshore
Ishikari Town","25 October,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,25
3469,Hokkaido,"2 November ,2011",,Hokkaido,"Offshore
Kushiro City","27 October,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,27
3475,Hokkaido,"2 November ,2011",,Hokkaido,"Offshore
Abashiri City","29 October,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,29
3503,Iwate,"4 November ,2011",,Iwate,"Offshore
Kuji City","31 October,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,31
3504,Iwate,"4 November ,2011",,Iwate,"Offshore
Miyako City","31 October,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,31
3505,Iwate,"4 November ,2011",,Iwate,"Offshore
Kamaishi City","31 October,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,31
3506,Iwate,"4 November ,2011",,Iwate,"Offshore
Ofunato City","31 October,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,31
3519,Hokkaido,"4 November ,2011",,Hokkaido,"Offshore
Betsukai Town","31 October,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,pelagic,s,f,2011,31
3548,Aomori,"7 November ,2011",,Aomori,"Offshore
Hachinohe","31 October,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,31
3674,Hokkaido,"9 November ,2011",,Hokkaido,"Offshore
Urakawa Town","2 November ,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,pelagic,s,f,2011,2 
3695,Ibaraki,"9 November ,2011",,Ibaraki,"Kinugawa River
(inland waters)","6 November ,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",ND,ND,pelagic,s,f,2011,6 
3702,Miyagi,"9 November ,2011",,Miyagi,"Offshore southern
Sanriku Region","1 November ,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,1 
3735,Yamagata,"7 November ,2011",,Yamagata,Yuza Towan (Gakko River) (inland waters),"7 November ,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,"Yamagata Prefectural Institute of Public
Health",ND,ND,pelagic,s,f,2011,7 
3766,Iwate,"11 November ,2011",,Iwate,"Offshore
Kuji City","8 November ,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,8 
3767,Iwate,"11 November ,2011",,Iwate,"Offshore
Miyako City","7 November ,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,7 
3768,Iwate,"11 November ,2011",,Iwate,"Offshore
Kamaishi City","8 November ,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,8 
3769,Iwate,"11 November ,2011",,Iwate,"Offshore
Ofunato City","7 November ,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,7 
3797,Aomori,"14 November ,2011",,Aomori,Offshore Misawa,"7 November ,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,"Japan Frozen Foods Inspection
Corporation",ND,ND,pelagic,s,f,2011,7 
3799,Hokkaido,"14 November ,2011",,Hokkaido,"Offshore
Kushiro City","4 November ,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,4 
3973,Hokkaido,"16 November ,2011",,Hokkaido,"Offshore
Urakawa Town","10 November ,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,pelagic,s,f,2011,10
3987,Miyagi,"16 November ,2011",,Miyagi,"Offshore southern
Sanriku Region","10 November ,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Tohoku University,ND,ND,pelagic,s,f,2011,10
4029,Ibaraki,"18 November ,2011",,Ibaraki,"Nakagawa River
(inland waters)","15 November ,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",ND,ND,pelagic,s,f,2011,15
4035,Iwate,"18 November ,2011",,Iwate,"Offshore
Kamaishi City","15 November ,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,15
4036,Iwate,"18 November ,2011",,Iwate,"Offshore
Kuji City","15 November ,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,15
4037,Iwate,"18 November ,2011",,Iwate,"Offshore
Miyako City","14 November ,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,14
4038,Iwate,"18 November ,2011",,Iwate,"Offshore
Kamaishi City","15 November ,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,15
4039,Iwate,"18 November ,2011",,Iwate,"Offshore
Ofunato City","14 November ,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,14
4219,Hokkaido,"24 November ,2011",,Hokkaido,"Offshore
Abashiri City","12 November ,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,pelagic,s,f,2011,12
4229,Hokkaido,"24 November ,2011",,Hokkaido,"Offshore
Betsukai Town","17 November ,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,pelagic,s,f,2011,17
4236,Miyagi,"24 November ,2011",,Miyagi,"Offshore southern
Sanriku Region","13 November ,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,13
4237,Miyagi,"24 November ,2011",,Miyagi,"Offshore southern
Sanriku Region","14 November ,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,14
4266,Iwate,"25 November ,2011",,Iwate,"Offshore
Kamaishi City","8 November ,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Research Institute for Environmental Sciences  and Public Health of Iwate Prefecture,ND,ND,pelagic,s,f,2011,8 
4271,Iwate,"25 November ,2011",,Iwate,"Offshore
Kuji City","21 November ,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,21
4272,Iwate,"25 November ,2011",,Iwate,"Offshore
Kamaishi City","21 November ,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,21
4273,Iwate,"25 November ,2011",,Iwate,"Offshore
Miyako City","21 November ,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,21
4274,Iwate,"25 November ,2011",,Iwate,"Offshore
Kamaishi City","21 November ,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,21
4275,Iwate,"25 November ,2011",,Iwate,"Offshore
Ofunato City","21 November ,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,21
4292,Hokkaido,"28 November ,2011",,Hokkaido,"Offshore
Hokuto City","21 November ,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,pelagic,s,f,2011,21
4462,Iwate,"2 December,2011",,Iwate,"Offshore
Kamaishi City","29 November ,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,29
4463,Iwate,"2 December,2011",,Iwate,"Offshore
Kuji City","28 November ,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,28
4464,Iwate,"2 December,2011",,Iwate,"Offshore
Miyako City","28 November ,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,28
4465,Iwate,"2 December,2011",,Iwate,"Offshore
Kamaishi City","29 November ,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,29
4466,Iwate,"2 December,2011",,Iwate,"Offshore
Ofunato City","28 November ,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,28
4496,Aomori,"5 December,2011",,Aomori,Offshore Higashi-dori Village,"28 November ,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,"Japan Frozen Foods Inspection
Corporation",ND,ND,pelagic,s,f,2011,28
4508,Hokkaido,"5 December,2011",,Hokkaido,"Offshore
Hokuto City","26 November ,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,"Japan Frozen Foods Inspection
Corporation",ND,ND,pelagic,s,f,2011,26
4605,Miyagi,"7 December,2011",,Miyagi,"Offshore southern
Sanriku Region","30 November ,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,30
4629,Iwate,"9 December,2011",,Iwate,"Offshore
Kamaishi City","8 December,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,8 
4630,Iwate,"9 December,2011",,Iwate,"Offshore
Kuji City","8 December,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,8 
4631,Iwate,"9 December,2011",,Iwate,"Offshore
Miyako City","7 December,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,7 
4632,Iwate,"9 December,2011",,Iwate,"Offshore
Kamaishi City","8 December,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,8 
4633,Iwate,"9 December,2011",,Iwate,"Offshore
Ofunato City","7 December,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,7 
4662,Aomori,"13 December,2011",,Aomori,Offshore Misawa,"7 December,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,7 
4774,Miyagi,"15 December,2011",,Miyagi,"Offshore southern
Sanriku Region","6 December,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,6 
4814,Iwate,"16 December,2011",,Iwate,"Offshore
Kamaishi City","13 December,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,"Japan Frozen Foods Inspection
Corporation",ND,ND,pelagic,s,f,2011,13
4815,Iwate,"16 December,2011",,Iwate,"Offshore
Kuji City","13 December,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,13
4816,Iwate,"16 December,2011",,Iwate,"Offshore
Miyako City","12 December,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,12
4817,Iwate,"16 December,2011",,Iwate,"Offshore
Kamaishi City","13 December,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,13
4818,Iwate,"16 December,2011",,Iwate,"Offshore
Ofunato City","12 December,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,12
4946,Miyagi,"21 December,2011",,Miyagi,"Offshore southern
Sanriku Region","13 December,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,13
4988,Iwate,"22 December,2011",,Iwate,"Offshore
Kamaishi City","19 December,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,19
4989,Iwate,"22 December,2011",,Iwate,"Offshore
Kuji City","19 December,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,19
4990,Iwate,"22 December,2011",,Iwate,"Offshore
Iwaizumi Town","19 December,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,19
4991,Iwate,"22 December,2011",,Iwate,"Offshore
Kamaishi City","19 December,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,19
4992,Iwate,"22 December,2011",,Iwate,"Offshore
Ofunato City","19 December,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,19
5176,Miyagi,"28 December,2011",,Miyagi,"Offshore southern
Sanriku Region","18 December,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,18
5247,Iwate,"13 January,2012",,Iwate,"Offshore
Kamaishi City","9 December,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,9 
5248,Iwate,"13 January,2012",,Iwate,"Offshore
Iwaizumi Town","9 December,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,9 
5249,Iwate,"13 January,2012",,Iwate,"Offshore
Kamaishi City","9 December,2011",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,9 
5455,Iwate,"20 January,2012",,Iwate,"Offshore
Iwaizumi Town","16 January,2012",____,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2012,16
2548,Miyagi,"6 October,2011",,Miyagi,Marumori Town (Abukuma River) (inland waters),"30 September,2011",________,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Tohoku University,ND,ND,pelagic,s,f,2011,30
1718,Hokkaido,"1 September,2011",,Hokkaido,"Offshore
Hiroo town","29 August, 2011",___,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Hokkaido Institute of Public Health,ND,ND,pelagic,s,f,2011,29
1719,Hokkaido,"1 September,2011",,Hokkaido,"Offshore
Shari town","29 August, 2011",___,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Hokkaido Institute of Public Health,ND,ND,pelagic,s,f,2011,29
2028,Hokkaido,"15 September,2011",,Hokkaido,"Offshore
Urakawa Town","9 September,2011",___,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis  Center,ND,ND,pelagic,s,f,2011,9 
2048,Hokkaido,"16 September,2011",,Hokkaido,"Offshore
Betsukai Town","12 September,2011",___,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis  Center,ND,ND,pelagic,s,f,2011,12
2049,Iwate,"16 September,2011",,Iwate,"Offshore
Kuji City","13 September,2011",___,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis  Center,ND,ND,pelagic,s,f,2011,13
2073,Hokkaido,"20 September,2011",,Hokkaido,"Offshore
Kushiro City","12 September,2011",___,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis  Center,ND,ND,pelagic,s,f,2011,12
2175,Iwate,"22 September,2011",,Iwate,"Offshore
Miyako City","19 September,2011",___,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis  Center,ND,ND,pelagic,s,f,2011,19
2208,Hokkaido,"22 September,2011",,Hokkaido,"Offshore
Ishikari City","17 September,2011",___,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis  Center,ND,ND,pelagic,s,f,2011,17
2218,Hokkaido,"26 September,2011",,Hokkaido,"Offshore
Abashiri City","15 September,2011",___,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis  Center,ND,ND,pelagic,s,f,2011,15
