"Results of the inspection on radioactive materials in fisheries products (press releases in March,2011_September,  2011)",,,,,,,,,,,,,,,,,
"Note: This data sheet is a compilation of individual  test results shown in the corresponding press releases, (in Japanese) by prefectural governments, available  at the website each prefecture or  _",,,,,,,,,,,,,,,,,
http://www.jfa.maff.go.jp/j/kakou/kensa/index.html,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Press release,,Origin,,Sampling date,Item,,Radioactive Caesium (Bq/kg_ Provisional  regulation value for fish Radioactive caesium: 500 Bq/kg,,Radioactive _odine (Bq/kg_ Provisional  regulation value for fish Radioactive iodine: 2000 Bq/kg,,Facility that conducted  the analysis,Radioactive Caesium (Bq/kg_ Provisional  regulation value for fish Radioactive caesium: 500 Bq/kg,Radioactive _odine (Bq/kg_ Provisional  regulation value for fish Radioactive iodine: 2000 Bq/kg,,,
4226,Hokkaido,"24 November ,2011",Hokkaido,"Offshore
Urakawa Town","17 November ,2011",______,"Alaska pollock
(Theragra  chalcogramma)",Not detectable,,Not detectable,,"Japan Frozen Foods Inspection
Corporation",ND,ND,s,f,
4227,Hokkaido,"24 November ,2011",Hokkaido,"Offshore
Kushiro City","17 November ,2011",______,"Alaska pollock
(Theragra  chalcogramma)",Not detectable,,Not detectable,,"Japan Frozen Foods Inspection
Corporation",ND,ND,s,f,
4231,Hokkaido,"24 November ,2011",Hokkaido,"Offshore
Otobe Town","18 November ,2011",______,"Alaska pollock
(Theragra  chalcogramma)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,s,f,
4269,Iwate,"25 November ,2011",Iwate,"Offshore
Kamaishi City","18 November ,2011",______,"Alaska pollock
(Theragra  chalcogramma)",Not detectable,,Not detectable,,Research Institute for Environmental Sciences  and Public Health of Iwate Prefecture,ND,ND,s,f,
4295,Hokkaido,"28 November ,2011",Hokkaido,"Offshore
Muroran City","18 November ,2011",______,"Alaska pollock
(Theragra  chalcogramma)",,0.66,Not detectable,,"Japan Frozen Foods Inspection
Corporation",0.66,ND,s,f,
4377,Fukushima,"30 November ,2011",Fukushima,Soma City,"26 November ,2011",______,"Alaska pollock
(Theragra  chalcogramma)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,f,
4410,Hokkaido,"30 November ,2011",Hokkaido,"Offshore
Urakawa Town","23 November ,2011",______,"Alaska pollock
(Theragra  chalcogramma)",,2.37,Not detectable,,Japan Chemical Analysis Center,2.37,ND,s,f,
4483,Hokkaido,"2 December,2011",Hokkaido,"Offshore
Otobe Town","27 November ,2011",______,"Alaska pollock
(Theragra  chalcogramma)",,0.6,Not detectable,,Private inspection facility,0.6,ND,s,f,
4493,Aomori,"5 December,2011",Aomori,Offshore Oirase,"28 November ,2011",______,"Alaska pollock
(Theragra  chalcogramma)",,1.28,Not detectable,,"Japan Frozen Foods Inspection
Corporation",1.28,ND,s,f,
4501,Hokkaido,"5 December,2011",Hokkaido,"Offshore
Muroran City","28 November ,2011",______,"Alaska pollock
(Theragra  chalcogramma)",,0.81,Not detectable,,Private inspection facility,0.81,ND,s,f,
4506,Hokkaido,"5 December,2011",Hokkaido,"Offshore
Kushiro City","27 November ,2011",______,"Alaska pollock
(Theragra  chalcogramma)",Not detectable,,Not detectable,,"Japan Frozen Foods Inspection
Corporation",ND,ND,s,f,
4577,Hokkaido,"7 December,2011",Hokkaido,"Offshore
Urakawa Town","30 November ,2011",______,"Alaska pollock
(Theragra  chalcogramma)",,0.72,Not detectable,,Private inspection facility,0.72,ND,s,f,
4665,Aomori,"13 December,2011",Aomori,Offshore Misawa,"6 December,2011",______,"Alaska pollock
(Theragra  chalcogramma)",,3.5,Not detectable,,"Japan Frozen Foods Inspection
Corporation",3.5,ND,s,f,
4667,Hokkaido,"13 December,2011",Hokkaido,"Offshore
Otobe Town","6 December,2011",______,"Alaska pollock
(Theragra  chalcogramma)",,0.54,Not detectable,,"Japan Frozen Foods Inspection
Corporation",0.54,ND,s,f,
4668,Hokkaido,"13 December,2011",Hokkaido,"Offshore
Muroran City","6 December,2011",______,"Alaska pollock
(Theragra  chalcogramma)",,3.2,Not detectable,,"Japan Frozen Foods Inspection
Corporation",3.2,ND,s,f,
4674,Hokkaido,"13 December,2011",Hokkaido,"Offshore
Kushiro City","2 December,2011",______,"Alaska pollock
(Theragra  chalcogramma)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,s,f,
4710,Fukushima,"14 December,2011",Fukushima,Namie Town,"12 December,2011",______,"Alaska pollock
(Theragra  chalcogramma)",Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,s,f,
