"Results of the inspection on radioactive materials in fisheries products (press releases in March,2011_September,  2011)",,,,,,,,,,,,,,,,,
"Note: This data sheet is a compilation of individual  test results shown in the corresponding press releases, (in Japanese) by prefectural governments, available  at the website each prefecture or  _",,,,,,,,,,,,,,,,,
http://www.jfa.maff.go.jp/j/kakou/kensa/index.html,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Press release,,Origin,,,Sampling date,Item,,,Radioactive Caesium (Bq/kg_ Provisional  regulation value for fish Radioactive caesium: 500 Bq/kg,,Radioactive _odine (Bq/kg_ Provisional  regulation value for fish Radioactive iodine: 2000 Bq/kg,,Facility that conducted  the analysis,,,
107,Ibaraki,"16 April, 2011",Ibaraki,,"Offshore
Kamisu city","15 April, 2011",________,,"Thornhead
(Sebastolobus macrochir)",Not detectable,,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
108,Ibaraki,"16 April, 2011",Ibaraki,,"Offshore
Kitaibaraki city","15 April, 2011",___,,"Conger eel
(Conger myriaster)",,4,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
109,Ibaraki,"16 April, 2011",Ibaraki,,"Offshore
Kitaibaraki city","15 April, 2011",____,,"Conger eel
(Conger myriaster)",,7,,9,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
110,Ibaraki,"16 April, 2011",Ibaraki,,"Offshore
Kitaibaraki city","15 April, 2011",___,,"Olive flounder
(Paralichthys olivaceus)",,19,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
111,Ibaraki,"16 April, 2011",Ibaraki,,"Offshore
Kitaibaraki city","15 April, 2011",________,,"Willowy flounder
(Tanakius kitaharai)",Not detectable,,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
112,Ibaraki,"16 April, 2011",Ibaraki,,"Offshore
Kitaibaraki city","15 April, 2011",____,,"Drum
(Argyrosomus argentatus)",Not detectable,,,3,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
113,Hokkaido,"18 April, 2011",Hokkaido,,"Pacific Ocean, Offshore Hokkaido","15 April, 2011",____,,"Chum salmon
(Oncorhynchus keta)",,0.45,Not detectable,,Hokkaido Institute of Public Health,,,
114,Chiba,"19 April, 2011",Chiba,,Choshi,"18 April, 2011",_______,,"Anchovy
(Engraulis japonicus)",,3.2,,1.3,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
115,Ibaraki,"19 April, 2011",Ibaraki,,"Offshore
Hitachi city","18 April, 2011",________,,"Japanese whelk
(Buccinum isaotakii)",Not detectable,,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
116,Ibaraki,"19 April, 2011",Ibaraki,,"Offshore
Oarai town","17 April, 2011",_____,,"Goldeye rockfish
(Sebastes thompsoni)",,15,,4,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
117,Ibaraki,"19 April, 2011",Ibaraki,,"offshore
Oarai town","17 April, 2011",_____,,"Rockfish
(Sebastes ventricosus)",,6,,5,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
118,Ibaraki,"19 April, 2011",Ibaraki,,"Offshore
Hokota city","18 April, 2011",_____,,"Stone flounder
(Kareius bicoloratus)",,7,,2,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
119,Ibaraki,"19 April, 2011",Ibaraki,,"Offshore
Kashima city","18 April, 2011",___,,"Olive flounder
(Paralichthys olivaceus)",Not detectable,,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
120,Ibaraki,"19 April, 2011",Ibaraki,,"Offshore
Kitaibaraki city","18 April, 2011",___________,,"Conger eel (Juvenile)
_ Conger myriaster _",,21,,28,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
121,Tokyo,"19 April, 2011",Tokyo,,"Toshima port
(Toshima Village)","3 April, 2011",_____,,"Tosakanori seaweed
(Meristotheca papulosa)",Not detectable,,,4.91,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
122,Fukushima,"19 April, 2011",Fukushima,,Offshore Iwaki,"18 April, 2011",__________,,"Japanese sandlance
(Ammodytes personatus)","14,400",,,"3,900",Japan Chemical Analysis  Center,,,
123,Fukushima,"19 April, 2011",Fukushima,,Offshore Iwaki,"18 April, 2011",__________,,"Japanese sandlance
(Ammodytes personatus)",,320,,120,Japan Chemical Analysis  Center,,,
124,Fukushima,"19 April, 2011",Fukushima,,"Inawashiro town
(inland waters)","18 April, 2011",_______,,"Land-locked salmon(farmed)
(Oncorhynchus masou)",,15.7,Not detectable,,Japan Chemical Analysis  Center,,,
125,Kanagawa,"19 April, 2011",Kanagawa,,kaneda,"4 April, 2011",___,,"Hijiki seaweed
(Hizikia fusiformis)",Not detectable,,,9.48,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
126,Gunma,"19 April, 2011",Gunma,,"Maebashi City
(inland waters)","15 April, 2011",______,,"Ayu sweetfish(wild)
(Plecoglossus altivelis)",Not detectable,,Not detectable,,Japan Inspection Association of Food and Food Industry Environment,,,
127,Gunma,"19 April, 2011",Gunma,,"Maebashi City
(inland waters)","14 April, 2011",______,,"Common carp(wild)
(Cyprinus carpio)",Not detectable,,Not detectable,,Japan Inspection Association of Food and Food Industry Environment,,,
128,Gunma,"19 April, 2011",Gunma,,"Kawaba Village
(inland waters)","14 April, 2011",____,,"Rainbow trout
(Oncorhynchus mykiss)",Not detectable,,Not detectable,,Japan Inspection Association of Food and Food Industry Environment,,,
129,Gunma,"19 April, 2011",Gunma,,"Kawaba Village
(inland waters)","14 April, 2011",_______,,"Land-locked salmon(wild)
(Oncorhynchus masou)",Not detectable,,Not detectable,,Japan Inspection Association of Food and Food Industry Environment,,,
130,Gunma,"19 April, 2011",Gunma,,"Kawaba Village
(inland waters)","14 April, 2011",_______,,"Whitespotted char(wild)
(Salvelinus leucomaenis)",Not detectable,,Not detectable,,Japan Inspection Association of Food and Food Industry Environment,,,
131,Yokohama City,"20 April, 2011",Kanagawa,,Yokohama City,"18 April, 2011",___,,"Japanese littleneck clam
(Venerupis (Ruditapes)
philippinarum)",Not detectable,,,44,"Kanagawa Prefectural Institute of
Public Health",,,
132,Chiba,"21 April, 2011",Chiba,,Choshi,"19 April, 2011",___,,"Olive flounder
(Paralichthys olivaceus)",,4.4,Not detectable,,Japan Inspection Association of Food and Food Industry Environment,,,
133,Chiba,"21 April, 2011",Chiba,,Kanaya,"18 April, 2011",___,,"Japanese jack mackerel
(Trachurus japonicas)",Not detectable,,Not detectable,,Japan Inspection Association of Food and Food Industry Environment,,,
134,Chiba,"21 April, 2011",Chiba,,Takeoka,"18 April, 2011",____,,"Hairtail
_ Trichiurus lepturus _",,1.9,Not detectable,,Japan Inspection Association of Food and Food Industry Environment,,,
135,Chiba,"21 April, 2011",Chiba,,Takeoka,"18 April, 2011",___,,"Spanish mackerel
(Scomberomours nipponius)",,1.5,Not detectable,,"Kanagawa Prefectural Institute of
Public Health",,,
136,Ibaraki,"22 April, 2011",Ibaraki,,"Offshore
Takahagi city","21 April, 2011",__________,,"Japanese sandlance
(Ammodytes personatus)",,254,,670,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
137,Ibaraki,"22 April, 2011",Ibaraki,,"Offshore
Hitachinaka city","21 April, 2011",__________,,"Japanese sandlance
(Ammodytes personatus)",,93,,180,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
138,Ibaraki,"22 April, 2011",Ibaraki,,"Offshore
Oarai town","21 April, 2011",__________,,"Japanese sandlance
(Ammodytes personatus)",,54,,210,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
139,Chiba,"22 April, 2011",Chiba,,Kawaguchi,"20 April, 2011",_____,,"Japanese abalone
(Haliotis discus)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
140,Saitama Prefecture Food Fish Producer Association,"22 April, 2011",Saitama,,"Gyoda City
(inland waters)","14 April, 2011",_______,,"Japanese catfish(farmed)
(Silurus asotus)",Not detectable,,Not detectable,,Japan Inspection Association of Food and Food Industry Environment,,,
141,Fukushima,"23 April, 2011",Fukushima,,Offshore Iwaki,"22 April, 2011",___,,"Olive flounder
(Paralichthys olivaceus)",,82,,9.2,Japan Chemical Analysis  Center,,,
142,Ibaraki,"23 April, 2011",Ibaraki,,"Offshore
Hitachi city","21 April, 2011",___,,"Olive flounder
(Paralichthys olivaceus)",,23,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
143,Ibaraki,"23 April, 2011",Ibaraki,,"Offshore
Hitachi city","21 April, 2011",________,,"Willowy flounder
(Tanakius kitaharai)",,5,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
144,Ibaraki,"23 April, 2011",Ibaraki,,"Offshore
Hitachi city","21 April, 2011",_____,,"Marbled flounder
(Pleuronectes yokohamae)",Not detectable,,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
145,Ibaraki,"23 April, 2011",Ibaraki,,"Offshore
Hitachinaka city","21 April, 2011",___,,"Olive flounder
(Paralichthys olivaceus)",,7,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
146,Ibaraki,"23 April, 2011",Ibaraki,,"Offshore
Hitachinaka city","21 April, 2011",_____,,"Marbled flounder
(Pleuronectes yokohamae)",,5,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
147,Ibaraki,"23 April, 2011",Ibaraki,,"Offshore
between
Oarai Town
and
Hokota City","22 April, 2011",____,,"Cocktail shrimp
(Trachypenaeus curvirostris)",,12,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
148,Ibaraki,"23 April, 2011",Ibaraki,,"Offshore between Oarai Town and
Hokota City","22 April, 2011",_______,,"Red tongue sole
(Cynoglossus joyneri)",Not detectable,,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
149,Ibaraki,"23 April, 2011",Ibaraki,,"Offshore between Oarai Town and
Hokota City","22 April, 2011",______,,"Browneye skate
(Okamejei schmidti)",,9,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
150,Ibaraki,"23 April, 2011",Ibaraki,,"Offshore between Oarai Town and
Hokota City","22 April, 2011",___,,"Flathead
(Platycephalus sp.)",,3,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
151,Ibaraki,"23 April, 2011",Ibaraki,,"Offshore between Oarai Town and
Kashima City","21 - 22 April,2011",___,,"Seabass
(Lateolabrax japonicus)",,48,,4,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
152,Ibaraki,"23 April, 2011",Ibaraki,,"Offshore between Oarai Town and
Kashima City","21 - 22 April,2011",____,,"Gurnard
(Chelidonichthys spinosus)",Not detectable,,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
153,Ibaraki,"23 April, 2011",Ibaraki,,"Offshore between Oarai Town and
Kashima City","21 - 22 April,2011",___,,"Crimson sea bream
(Evynnis japonica)",Not detectable,,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
154,Ibaraki,"23 April, 2011",Ibaraki,,"Offshore between Oarai Town and
Kashima City","21 - 22 April,2011",______,,"Ridged-eye flounder
(Pleuronichthys cornutus)",,3,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
155,Ibaraki,"23 April, 2011",Ibaraki,,"Offshore between Oarai Town and
Kashima City","21 - 22 April,2011",______,,"Sand crab
(Ovalipes punctatus)",,8,,22,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
156,Ibaraki,"23 April, 2011",Ibaraki,,"Offshore between Oarai Town and
Kashima City","21 - 22 April,2011",______,,"Black scraper
(Thamnaconus modestus)",,6,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
157,Ibaraki,"23 April, 2011",Ibaraki,,"Offshore between Oarai Town and
Kashima City","22 April, 2011",____,,"Spear squid
(Loligo bleekeri)",,69,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
158,Ibaraki,"23 April, 2011",Ibaraki,,"Offshore
Hitachi City","22 April, 2011",___,,Whitebait,,11,,6,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
159,Ibaraki,"23 April, 2011",Ibaraki,,"Offshore
Hitachi City","22 April, 2011",____,,"Japanese icefish
(Salangichthys microdon)",,294,,52,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
160,Ibaraki,"23 April, 2011",Ibaraki,,"Offshore
Kashima City","22 April, 2011",___,,"Chub mackerel
(Scomber japonicus)",,40,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
161,Ibaraki,"23 April, 2011",Ibaraki,,"Hinuma River
(inland waters)","21 April, 2011",______,,"Brackish-water Clam
(Corbicula japonica)",,28,,9,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
162,National Federation of Medium Trawlers,"25 April, 2011",Iwate,,"Offshore
Miyako City","19 April, 2011",______,,"Alaska pollock
(Theragra chalcogramma)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
163,National Federation of Medium Trawlers,"25 April, 2011",Iwate,,"Offshore
Miyako City","19 April, 2011",___,,"Pacific cod
(Gadus macrocephalus)",,1.5,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
164,Chiba,"26 April, 2011",Chiba,,Choshi,"25 April, 2011",____,,"Japanese sardine
(Sardinops melanostictus)",,15,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
165,Hokkaido,"26 April, 2011",Hokkaido,,"Pacific Ocean, Offshore Hokkaido","22 April, 2011",______,,"Pink salmon
(Oncorhynchus gorbuscha )",,9.3,Not detectable,,Hokkaido Institute of Public Health,,,
166,Ibaraki,"26 April, 2011",Ibaraki,,"Offshore
Kashima City","22 April, 2011",____,,"Clam
(Meretrix lamarckii)",,9,,4,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
167,Ibaraki,"26 April, 2011",Ibaraki,,"Offshore
Kashima City","22 April, 2011",_____,,Surf clam (Pseudocardium sachalinense ),,8,,7,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
168,Ibaraki,"26 April, 2011",Ibaraki,,Offshore Hokota city,"25 April, 2011",___,,"Globefish
(Takifugu porphyreus )",Not detectable,,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
169,Ibaraki,"26 April, 2011",Ibaraki,,"Offshore
Kitaibaraki city","25 April, 2011",___,,Whitebait,,180,,45,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
170,Ibaraki,"26 April, 2011",Ibaraki,,"Offshore
Kashima City","25 April, 2011",_______,,"Anchovy
(Engraulis japonicus)",,20,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
171,Kanagawa,"26 April, 2011",Kanagawa,,Shiba fishing port,"25 April, 2011",___,,"Sea cucumber
(Stich)us japonicus)",,1.7,,2.9,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
172,Kanagawa,"26 April, 2011",Kanagawa,,Odawara fishing port,"26 April, 2011",___,,"Japanese jack mackerel
(Trachurus japonicas)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
173,Kanagawa,"26 April, 2011",Kanagawa,,Odawara fishing port,"26 April, 2011",___,,"Chub mackerel
(Scomber japonicus )",,1.2,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
174,Kanagawa,"26 April, 2011",Kanagawa,,Odawara fishing port,"26 April, 2011",____,,"Southern mackerel
(Scomber australasicus)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
175,Fukushima,"27 April, 2011",Fukushima,,"Inawashiro Town
(inland waters)","25 April, 2011",_______,,"Land-locked salmon(farmed)
(Oncorhynchus masou)",,19.5,Not detectable,,Japan Chemical Analysis  Center,,,
176,Fukushima,"27 April, 2011",Fukushima,,"Nishigo Village
(inland waters)","25 April, 2011",______(___,,"Peled whitefish(farmed)
(Coregonus peled)",Not detectable,,Not detectable,,Japan Chemical Analysis  Center,,,
177,Fukushima,"27 April, 2011",Fukushima,,Offshore Iwaki,"26 April, 2011",__________,,"Japanese sandlance
(Ammodytes personatus)",,"2,600",,690,Japan Chemical Analysis  Center,,,
178,Fukushima,"27 April, 2011",Fukushima,,Offshore Iwaki,"26 April, 2011",__________,,"Japanese sandlance
(Ammodytes personatus)",,"3,200",,890,Japan Chemical Analysis  Center,,,
179,Ibaraki,"27 April, 2011",Ibaraki,,"Offshore
Hitachi City","25 April, 2011",_____,,"Flathead flounder
(Hippoglossoides dubius)",,29,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
180,Ibaraki,"27 April, 2011",Ibaraki,,"Offshore
Hitachi City","25 April, 2011",_____,,"Chestnut octopus
(Octopus conispadiceus)",,2,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
181,Ibaraki,"27 April, 2011",Ibaraki,,"Offshore
Hitachi City","25 April, 2011",___,,"Pacific cod
(Gadus macrocephalus)",,13,,2,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
182,Ibaraki,"27 April, 2011",Ibaraki,,"Offshore
Hitachinaka city","26 April, 2011",___,,"Red seabream
(Pagrus major)",,7,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
183,Ibaraki,"27 April, 2011",Ibaraki,,"Offshore
Oarai Town","25 April, 2011",_____,,"Surf clam
(Pseudocardium sachalinense)",,11,,8,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
184,Ibaraki,"27 April, 2011",Ibaraki,,"Offshore
Hokota City","25 April, 2011",____,,"Red stingray
(Dasyatis akajei)",Not detectable,,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
185,Ibaraki,"27 April, 2011",Ibaraki,,"Offshore
Hokota City","25 April, 2011",___,,"Seabass
(Lateolabrax japonicus)",,3,,3,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
186,Ibaraki,"27 April, 2011",Ibaraki,,"Offshore
Hokota City","25 April, 2011",_____,,"Starry flounder
(Platichthys stellatus)",,10,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
187,Ibaraki,"27 April, 2011",Ibaraki,,"Offshore
Hokota City","25 April, 2011",____,,"apanese sardine
(Sardinops melanostictus)",,41,,14,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
188,Chiba,"28 April, 2011",Chiba,,Choshi,"26 April, 2011",_____,,"Alfonsino
(Beryx splendens )",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
189,Chiba,"28 April, 2011",Chiba,,Choshi,"26 April, 2011",_______,,"Anchovy
(Engraulis japonicus )",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
190,Chiba,"28 April, 2011",Chiba,,Funagata,"26 April, 2011",____,,"Japanese sardine
(Sardinops melanostictus )",,20.6,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
191,Chiba,"28 April, 2011",Chiba,,Funagata,"25 April, 2011",___,,"Barracuda
(Sphyraena pinguis )",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
192,National Federation of Medium Trawlers,"28 April, 2011",Iwate,,"Offshore Miyako
City","25 April, 2011",______,,"Alaska pollock
(Theragra chalcogramma)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
193,National Federation of Medium Trawlers,"28 April, 2011",Iwate,,"Offshore Miyako
City","25 April, 2011",___,,"Pacific cod
(Gadus macrocephalus)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
194,Miyagi,"28 April, 2011",Miyagi,,"Offshore
Miyagi","27 April, 2011",______,,"Alaska pollock
(Theragra chalcogramma)",,2.34,Not detectable,,Tohoku University,,,
195,Miyagi,"28 April, 2011",Miyagi,,"Offshore
Miyagi","27 April, 2011",___,,"Pacific cod
(Gadus macrocephalus)",Not detectable,,Not detectable,,Tohoku University,,,
196,Miyagi,"28 April, 2011",Miyagi,,"Offshore
Miyagi","27 April, 2011",______,,"Longnose eel
(Synaphobranchus kaupii)",Not detectable,,Not detectable,,Tohoku University,,,
197,Miyagi,"28 April, 2011",Miyagi,,"Offshore
Miyagi","27 April, 2011",_____,,"Roughscale sole
(Clidoderma asperrimum)",Not detectable,,Not detectable,,Tohoku University,,,
198,Miyagi,"28 April, 2011",Miyagi,,"Offshore
Miyagi","27 April, 2011",___,,"Thornhead
(Sebastolobus macrochir)",Not detectable,,Not detectable,,Tohoku University,,,
199,Miyagi,"28 April, 2011",Miyagi,,"Offshore
Miyagi","27 April, 2011",______,,"Threadfin hakeling
(Laemonema longipes)",Not detectable,,Not detectable,,Tohoku University,,,
200,Chiba,"28 April, 2011",Chiba,,Kaneda,"26 April, 2011",___,,"Japanese littleneck clam
(Venerupis (Ruditapes)
philippinarum)",,10,,7.2,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
201,Ibaraki,"29 April, 2011",Ibaraki,,"Offshore
Kitaibaraki city","28 April, 2011",__________,,"Japanese sandlance
(Ammodytes personatus)",,"1,129",,430,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
202,Ibaraki,"29 April, 2011",Ibaraki,,"Offshore
Takahagi city","28 April, 2011",__________,,"Japanese sandlance
(Ammodytes personatus)",,404,,330,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
203,Ibaraki,"30 April, 2011",Ibaraki,,"Offshore
Kitaibaraki city","29 April, 2011",__________,,"Japanese sandlance
(Ammodytes personatus)",,"1,374",,420,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
204,Ibaraki,"30 April, 2011",Ibaraki,,Offshore Takahagi city,"29 April, 2011",__________,,"Japanese sandlance
(Ammodytes personatus)",,505,,100,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
205,Ibaraki,"30 April, 2011",Ibaraki,,"Offshore
Hitachinaka city","29 April, 2011",__________,,"Japanese sandlance
(Ammodytes personatus)",,51,,53,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
206,Ibaraki,"30 April, 2011",Ibaraki,,"Offshore
Hitachi City","29 April, 2011",________,,"Willowy flounder
(Tanakius kitaharai)",,5,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
207,Ibaraki,"30 April, 2011",Ibaraki,,"Offshore
Hitachi City","29 April, 2011",_____,,"Chestnut octopus
(Octopus conispadiceus)",,13,,2,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
208,Ibaraki,"30 April, 2011",Ibaraki,,"Offshore
Hitachinaka city","29 April, 2011",___,,"Olive flounder
(Paralichthys olivaceus)",,10,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
209,Ibaraki,"30 April, 2011",Ibaraki,,"Offshore
Hitachinaka city","29 April, 2011",_____,,"Marbled flounder
(Pleuronectes yokohamae)",Not detectable,,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
