"Results of the inspection on radioactive materials in fisheries products (press releases in March,2011_September,  2011)",,,,,,,,,,,,,,,,,
"Note: This data sheet is a compilation of individual  test results shown in the corresponding press releases, (in Japanese) by prefectural governments, available  at the website each prefecture or  _",,,,,,,,,,,,,,,,,
http://www.jfa.maff.go.jp/j/kakou/kensa/index.html,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Press release,,Origin,,,Sampling date,Item,,,Radioactive Caesium (Bq/kg_ Provisional  regulation value for fish Radioactive caesium: 500 Bq/kg,,Radioactive _odine (Bq/kg_ Provisional  regulation value for fish Radioactive iodine: 2000 Bq/kg,,Facility that conducted  the analysis,,,
52,Ibaraki,"_,April, 2011",Ibaraki,,"Offshore
Hitachinaka city","5, April, 2011",_____,,"Flathead flounder
(Hippoglossoides dubius)",Not detectable,,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
53,Ibaraki,"_,April, 2011",Ibaraki,,"Offshore
Hitachinaka city","5, April, 2011",___,,"Pacific cod
(Gadus macrocephalus)",Not detectable,,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
54,Ibaraki,"_,April, 2011",Ibaraki,,Hinuma,"5,April, 2011",______,,"Brackish-water  clam
(Corbicula japonica)",,68,,96,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
55,Chiba,"8,April, 2011",Chiba,,Choshi,"6,April, 2011",____,,"Japanese sardine
(Sardinops melanostictus)",,8.5,,4.9,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
56,Chiba,"8,April, 2011",Chiba,,Choshi,"6,April, 2011",_____,,"Alfonsino
(Beryx splendens)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
57,Chiba,"8,April, 2011",Chiba,,Katagai,"6,April, 2011",_________,,"Clam
(Meretrix lamarckii)",Not detectable,,,5.0,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
58,National Federation of Medium Trawlers,"8,April, 2011",Iwate,,Offshore Miyako city and Kuji city,"5, April, 2011",___,,"Pacific cod
(Gadus macrocephalus)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
59,National Federation of Medium Trawlers,"8,April, 2011",Iwate,,Offshore Miyako city and Kuji city,"5, April, 2011",______,,"Alaska pollock
(Theragra chalcogramma)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
60,Ibaraki,"8,April, 2011",Ibaraki,,"Offshore
Hitachinaka city","7,April, 2011",___,,"Olive flounder
(Paralichthys olivaceus)",,2,,2,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
61,Ibaraki,"8,April, 2011",Ibaraki,,"Offshore
Hitachinaka city","7,April, 2011",_____,,"Marbled flounder
(Pleuronectes yokohamae)",,2,,4,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
62,Ibaraki,"8,April, 2011",Ibaraki,,"Offshore
Hitachinaka city","7,April, 2011",____,,"Monkfish
(Lophiomus setigerus)",Not detectable,,,2,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
63,Chiba,"8,April, 2011",Chiba,,Choshi,"7,April, 2011",_______,,"Anchovy
(Engraulis japonicus)",,1.7,,1.9,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
64,Ibaraki,"9,April, 2011",Ibaraki,,"Offshore
Hitachinaka city","8,April, 2011",_____,,"Slime flounder
(Microstomus achne)",,7,,26,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
65,Ibaraki,"9,April, 2011",Ibaraki,,"Offshore
Hitachinaka city","8,April, 2011",_____,,"Marbled flounder
(Pleuronectes yokohamae)",,8,,8,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
66,Fukushima,"9,April, 2011",Fukushima,,offshore Iwaki city,"7,April, 2011",__________,,"Japanese sandlance
(Ammodytes personatus)",,570,,"1,700",Japan Chemical Analysis  Center,,,
67,Fukushima,"9,April, 2011",Fukushima,,offshore Iwaki city,"7,April, 2011",__________,,"Japanese sandlance
(Ammodytes personatus)",,500,,"1,200",Japan Chemical Analysis  Center,,,
68,Fukushima,"9,April, 2011",Fukushima,,offshore Iwaki city,"7,April, 2011",__________,,"Japanese sandlance
(Ammodytes personatus)",,490,,"1,500",Japan Chemical Analysis  Center,,,
69,Fukushima,"9,April, 2011",Fukushima,,offshore Iwaki city,"7,April, 2011",__________,,"Japanese sandlance
(Ammodytes personatus)",,480,,"1,100",Japan Chemical Analysis  Center,,,
70,Ibaraki,"10,April, 2011",Ibaraki,,"Offshore
Hitachinaka city","8,April, 2011",___________,,"Conger eel (Juvenile)
_ Conger myriaster _",,4,,51,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
71,Ibaraki,"11,April, 2011",Ibaraki,,"Offshore
Hitachinaka city","8,April, 2011",__________,,"Japanese sandlance
(Ammodytes personatus)",,81,,598,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
72,Ibaraki,"11,April, 2011",Ibaraki,,"Offshore
Oarai town","8,April, 2011",___________,,"Conger eel (Juvenile)
_ Conger myriaster _",,7,,44,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
73,Ibaraki,"12,April, 2011",Ibaraki,,"Offshore
Kitaibaraki city","11,April, 2011",__________,,"Japanese sandlance
(Ammodytes personatus)",,420,,"2,300","Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
74,Ibaraki,"12,April, 2011",Ibaraki,,"Offshore
Kitaibaraki city","11,April, 2011",_______,,"Anchovy
(Engraulis japonicus)",,170,,52,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
75,Chiba,"12,April, 2011",Chiba,,Choshi,"10,April, 2011",___,,"Olive flounder
(Paralichthys olivaceus)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
76,Chiba,"12,April, 2011",Chiba,,Choshi,"11,April, 2011",____,,"Japanese sardine
(Sardinops melanostictus)",,2.0,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
77,Ibaraki,"12,April, 2011",Ibaraki,,"Offshore
Hitachi city","11,April, 2011",________,,"Willowy flounder
(Tanakius kitaharai)",,6,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
78,Ibaraki,"12,April, 2011",Ibaraki,,"Offshore
Hitachi city","11,April, 2011",_____,,"Chestnut octopus
(Octopus conispadiceus)",,3,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
79,Ibaraki,"12,April, 2011",Ibaraki,,"Offshore
Kashima city","11,April, 2011",_____,,"Marbled flounder
(Pleuronectes yokohamae)",Not detectable,,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
