,Press release,,Origin,,Sampling date,Item,,Radioactive Caesium (Bq/kg_ Provisional  regulation value for fish Radioactive caesium: 500 Bq/kg,,Radioactive _odine (Bq/kg_ Provisional  regulation value for fish Radioactive iodine: 2000 Bq/kg,,Facility that conducted  the analysis,Radioactive Caesium (Bq/kg_ Provisional  regulation value for fish Radioactive caesium: 500 Bq/kg,Radioactive _odine (Bq/kg_ Provisional  regulation value for fish Radioactive iodine: 2000 Bq/kg,,,,,
3561,Fukushima,"9 November ,2011",Fukushima,Iwaki City,"4 November ,2011",____,"Fat greenling
(Hexagrammos otakii)",,320,Not detectable,,"Fukushima Agricultural Technology
Centre",320,ND,demersal,s,f,2011,4 
3562,Fukushima,"9 November ,2011",Fukushima,Iwaki City,"6 November ,2011",____,"Fat greenling
(Hexagrammos otakii)",,290,Not detectable,,"Fukushima Agricultural Technology
Centre",290,ND,demersal,s,f,2011,6 
3593,Fukushima,"9 November ,2011",Fukushima,Soma City,"5 November ,2011",____,"Fat greenling
(Hexagrammos otakii)",,12,Not detectable,,"Fukushima Agricultural Technology
Centre",12,ND,demersal,s,f,2011,5 
3594,Fukushima,"9 November ,2011",Fukushima,Minami-soma City,"5 November ,2011",____,"Fat greenling
(Hexagrammos otakii)",,310,Not detectable,,"Fukushima Agricultural Technology
Centre",310,ND,demersal,s,f,2011,5 
3595,Fukushima,"9 November ,2011",Fukushima,Hirono Town,"7 November ,2011",____,"Fat greenling
(Hexagrammos otakii)",,167,Not detectable,,"Fukushima Agricultural Technology
Centre",167,ND,demersal,s,f,2011,7 
3706,Miyagi,"9 November ,2011",Miyagi,"Offshore
Miyagi","1 November ,2011",____,"Fat greenling
(Hexagrammos otakii)",7.7,,Not detectable,,Japan Chemical Analysis Center,7.7,ND,demersal,s,f,2011,1 
3811,Ibaraki,"15 November ,2011",Ibaraki,"Offshore
Tokai Village","10 November ,2011",____,"Fat greenling
(Hexagrammos otakii)",,81,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",81,ND,demersal,s,f,2011,10
3842,Fukushima,"16 November ,2011",Fukushima,Iwaki City,"10 November ,2011",____,"Fat greenling
(Hexagrammos otakii)",,173,Not detectable,,"Fukushima Agricultural Technology
Centre",173,ND,demersal,s,f,2011,10
3879,Fukushima,"16 November ,2011",Fukushima,Soma City,"11 November ,2011",____,"Fat greenling
(Hexagrammos otakii)",,78,Not detectable,,"Fukushima Agricultural Technology
Centre",78,ND,demersal,s,f,2011,11
3880,Fukushima,"16 November ,2011",Fukushima,Futaba Town,"12 November ,2011",____,"Fat greenling
(Hexagrammos otakii)",,58,Not detectable,,"Fukushima Agricultural Technology
Centre",58,ND,demersal,s,f,2011,12
3983,Miyagi,"16 November ,2011",Miyagi,"Offshore
Miyagi","9 November ,2011",____,"Fat greenling
(Hexagrammos otakii)",,5.4,Not detectable,,"Japan Frozen Foods Inspection
Corporation",5.4,ND,demersal,s,f,2011,9 
4097,Fukushima,"24 November ,2011",Fukushima,Iwaki City,"14 November ,2011",____,"Fat greenling
(Hexagrammos otakii)",,290,Not detectable,,"Fukushima Agricultural Technology
Centre",290,ND,demersal,s,f,2011,14
4127,Fukushima,"24 November ,2011",Fukushima,Soma City,"18 November ,2011",____,"Fat greenling
(Hexagrammos otakii)",,149,Not detectable,,"Fukushima Agricultural Technology
Centre",149,ND,demersal,s,f,2011,18
4128,Fukushima,"24 November ,2011",Fukushima,Minami-soma City,"18 November ,2011",____,"Fat greenling
(Hexagrammos otakii)",,193,Not detectable,,"Fukushima Agricultural Technology
Centre",193,ND,demersal,s,f,2011,18
4129,Fukushima,"24 November ,2011",Fukushima,Minami-soma City,"18 November ,2011",____,"Fat greenling
(Hexagrammos otakii)",,270,Not detectable,,"Fukushima Agricultural Technology
Centre",270,ND,demersal,s,f,2011,18
